GermLayer,DifferentiationState,Stage,CellName,CellTypeID,Anatomy1,Anatomy2,Sulston,CellType,Generalized
4:Mesodermal,4:Terminally differentiated,e,ABaraappaap,112,Pharynx,Muscle,m1DR,Muscle cell,Pharynx
2:Ectodermal,4:Terminally differentiated,e,ABaraappaaa,114,Pharynx,Neuron,MI,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABaraapappp,114,Pharynx,Neuron,M3L,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABaraapappa,114,Pharynx,Neuron,M2L,Neuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,ABaraapapap,112,Pharynx,Muscle,m5L,Muscle cell,Pharynx
2:Ectodermal,4:Terminally differentiated,e,ABaraapapaav,114,Pharynx,Neuron,NSML,Neuron,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABaraapaapp,117,Pharynx,Marginal,mc2DL,Pharyngeal marginal cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABaraapaapa,112,Pharynx,Muscle,m2DL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABaraapaaap,112,Pharynx,Muscle,m1DL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABaraapaaaa,104,Pharynx,Epithelium,e3D,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABaraaapppp,109,Head,Cylindrical hypodermal syncytium,hyp1DR,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABaraaapppa,133,Lip,Arcade Cell anterior part of buccal cavity,arc ant DR,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABaraaappap,133,Lip,Arcade Cell anterior part of buccal cavity,arc post VR,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABaraaappaa,133,Lip,Arcade Cell anterior part of buccal cavity,arc post D,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABaraaapaaa,133,Lip,Arcade Cell anterior part of buccal cavity,arc post DR,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABalpapaapa,133,Lip,Arcade Cell anterior part of buccal cavity,arc post V,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABalpaappap,133,Lip,Arcade Cell anterior part of buccal cavity,arc post VL,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABalpaappaa,133,Lip,Arcade Cell anterior part of buccal cavity,arc ant DL,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABalpaapaaa,133,Lip,Arcade Cell anterior part of buccal cavity,arc post DL,Epithelial cell,Epithelial
2:Ectodermal,3:Multipotent/Progenitor/Precursor,e,ABprappppp,13,Tail,Hypoderm,TR,Seam hypodermal cell,Seam Cell
2:Ectodermal,3:Multipotent/Progenitor/Precursor,e,ABprapappa,13,Body,Hypoderm,P12,Blast Cell,Blast Cell
2:Ectodermal,3:Multipotent/Progenitor/Precursor,e,ABprapapap,13,Body,Hypoderm,P10,Blast Cell,Blast Cell
2:Ectodermal,3:Multipotent/Progenitor/Precursor,e,ABplappppp,13,Tail,Hypoderm,TL,Seam hypodermal cell,Seam Cell
2:Ectodermal,3:Multipotent/Progenitor/Precursor,e,ABplapappa,13,Body,Hypoderm,P11,Blast Cell,Blast Cell
2:Ectodermal,3:Multipotent/Progenitor/Precursor,e,ABplapapap,13,Body,Hypoderm,P9,Blast Cell,Blast Cell
4:Mesodermal,4:Terminally differentiated,e,ABaraaapapp,112,Pharynx,Muscle,m4R,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABaraaapapa,117,Pharynx,Marginal,mc1DR,Pharyngeal marginal cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABaraaapaap,104,Pharynx,Epithelium,e2DR,Epithelial cell,Epithelial
4:Mesodermal,4:Terminally differentiated,e,ABaraaaapap,104,Pharynx,Epithelium,e1D,Epithelial cell,Epithelial
4:Mesodermal,4:Terminally differentiated,e,ABaraaaaapp,112,Pharynx,Muscle,m1R,Muscle cell,Pharynx
